Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
08/04/2023,3228510,63,1241122,61,193528,62,171533,63,28128,101,987994,102,5593,42
08/05/2023,2364364,80,879423,64,122596,92,114660,76,18835,113,969702,101,2838,60
08/06/2023,1910841,80,715130,65,107399,103,96010,92,18805,105,956499,104,2171,60
08/07/2023,3041001,59,1208443,60,191530,61,163799,60,27174,97,901342,93,5884,44
08/08/2023,3510047,68,1339073,66,218555,70,193867,71,29435,105,933802,96,7035,53
08/09/2023,3613062,70,1369095,68,224241,72,192028,70,30849,110,960119,99,6858,51
08/10/2023,3429304,67,1262073,63,208782,67,178768,66,29758,107,956875,98,6333,47
08/11/2023,3311714,64,1275618,63,206947,66,171116,63,29109,104,1018825,105,6119,46
08/12/2023,2366787,81,844749,61,131586,99,109269,72,18390,111,970527,101,2835,60
08/13/2023,1953558,82,690541,62,112932,109,93730,90,18071,101,965362,105,2196,61
08/14/2023,3092801,60,1246445,62,201352,64,168873,62,27185,97,939920,97,6051,45
08/15/2023,3385996,66,1273782,63,212116,68,187441,69,29122,104,924053,95,6680,50
08/16/2023,3447648,67,1300953,64,217398,70,190267,70,30763,110,956351,98,6652,50
08/17/2023,3385056,66,1275993,63,212321,68,180631,66,30045,108,975018,100,6360,48
08/18/2023,3182516,62,1208502,60,208639,67,174410,64,27468,98,999976,103,5361,40
08/19/2023,2358962,80,856814,62,144076,108,124069,82,19246,116,983353,103,2665,57
08/20/2023,1870625,79,689829,62,101351,97,94332,91,18004,100,958807,104,2065,58
08/21/2023,2971166,58,1199440,59,198534,63,170102,62,26325,94,929844,96,5857,44
08/22/2023,3352769,65,1263459,63,213724,68,194321,71,28913,104,928605,96,6463,48
08/23/2023,3412842,66,1272485,63,215258,69,192053,70,30187,108,954470,98,6566,49
08/24/2023,3297927,64,1201155,60,204439,65,176827,65,28689,103,958830,99,6191,46
08/25/2023,3034255,59,1143010,57,191119,61,153854,56,26511,95,953126,98,4891,37
08/26/2023,2281885,78,844428,61,122930,92,100194,66,18024,108,954892,100,2700,57
08/27/2023,1909806,80,702984,64,106913,103,85878,83,18022,100,943519,103,2088,58
08/28/2023,3121505,61,1240688,61,215843,69,170897,63,26613,95,932328,96,6179,46
08/29/2023,3401088,66,1284953,64,235092,75,189077,69,28250,101,930248,96,6677,50
08/30/2023,3462970,67,1267435,63,230912,74,180304,66,29450,105,959898,99,6639,50
08/31/2023,3450532,67,1315113,65,229477,73,176676,65,29312,105,1017088,105,6537,49
09/01/2023,3196284,55,1225370,53,202450,62,152974,53,28920,97,1025352,108,5372,31
09/02/2023,2307416,72,842591,60,132551,112,107230,70,18536,108,939962,98,2633,64
09/03/2023,2013506,79,692079,63,119566,121,90729,86,19598,114,939811,106,2185,75
09/04/2023,1879819,74,686326,62,114475,115,87538,83,12292,72,856049,97,2188,75
09/05/2023,3483755,60,1349438,58,239334,73,218899,76,29869,101,969997,102,6739,39
09/06/2023,3712071,64,1395521,60,238477,73,211126,73,32290,109,963978,101,6909,40
09/07/2023,3867746,67,1441437,62,226937,69,206910,72,31704,107,981360,103,7044,41
09/08/2023,3609701,63,1365283,59,225125,69,183785,64,30083,101,1015782,107,6257,37
09/09/2023,2425515,75,840378,60,125177,106,102373,67,17897,104,953082,100,2575,62
09/10/2023,1822230,72,626222,57,96835,98,81850,78,17916,104,870988,98,1623,55
09/11/2023,3596538,62,1400268,60,213280,65,191592,66,29057,98,911493,96,7182,42
09/12/2023,4014480,70,1519571,65,241196,74,221092,77,31779,107,955533,100,8031,47
09/13/2023,3938516,68,1482320,64,229765,70,210001,73,31900,107,936338,98,7787,46
09/14/2023,4045169,70,1517040,65,232039,71,206374,72,32717,110,989072,104,7847,46
09/15/2023,3694845,64,1398937,60,225904,69,192398,67,30957,104,1022344,107,6429,38
09/16/2023,2446139,76,881354,63,117997,100,115065,75,18923,110,972924,102,2864,69
09/17/2023,1988003,78,666392,60,107302,108,96229,92,18330,107,902993,102,2197,75
09/18/2023,3539047,61,1294777,56,215151,66,192103,67,28341,95,876621,92,7010,41
09/19/2023,4140301,72,1480863,64,241135,74,224426,78,31109,105,934708,98,8652,51
09/20/2023,4179861,72,1478618,64,242203,74,219540,76,32181,108,958671,101,8671,51
09/21/2023,4139288,72,1478606,64,232409,71,211375,73,31455,106,978561,103,8554,50
09/22/2023,3840412,67,1403811,60,223821,68,194197,67,30086,101,1020253,107,7175,42
09/23/2023,2116140,66,682092,49,96073,81,86985,57,15680,92,803480,84,2012,49
09/24/2023,1701656,67,562224,51,83669,84,75103,71,15255,89,742634,84,1863,64
09/25/2023,2885921,50,1035021,45,194611,59,175651,61,24609,83,812779,85,5320,31
09/26/2023,3946624,68,1393963,60,235620,72,214987,75,30558,103,909652,95,7655,45
09/27/2023,4074930,71,1463309,63,232823,71,212978,74,32758,110,943929,99,7877,46
09/28/2023,4051444,70,1433729,62,227819,70,201304,70,31804,107,965165,101,7587,44
09/29/2023,2467295,43,1053306,45,188008,57,128570,45,29054,98,826445,87,5183,30
09/30/2023,2205573,68,789587,56,104842,89,100703,66,16536,97,864863,91,1936,47
10/01/2023,1995361,81,669243,67,94222,103,92724,88,18586,101,898064,106,1984,53
10/02/2023,3649389,63,1390842,62,208901,66,183892,63,28672,96,931216,100,7289,41
10/03/2023,4008201,70,1471939,65,235305,75,214111,74,32295,108,937269,101,7953,45
10/04/2023,4026878,70,1467384,65,231999,74,209399,72,33186,111,949285,102,7928,44
10/05/2023,4030304,70,1457151,65,233470,74,207356,71,32414,109,973371,105,7814,44
10/06/2023,3639729,63,1325428,59,225040,72,193065,66,30643,103,1000568,108,6284,35
10/07/2023,2199478,66,720734,52,105975,93,95026,62,16919,96,842763,89,2010,44
10/08/2023,2044534,83,654443,65,98315,108,105952,101,18471,101,896319,106,2722,72
10/09/2023,2833654,49,1023375,45,206491,66,189567,65,21655,73,905490,98,4576,26
10/10/2023,3954925,69,1423532,63,239967,76,220445,76,31970,107,935467,101,8356,47
10/11/2023,4056504,71,1451764,64,236033,75,214437,74,33382,112,950384,102,8630,48
10/12/2023,4104598,71,1436967,64,248974,79,215284,74,32865,110,988904,107,8255,46
10/13/2023,3560964,62,1322576,59,226873,72,193658,67,31134,105,1002148,108,6429,36
10/14/2023,2219786,67,717223,52,110177,97,96158,63,17155,97,873287,92,2298,50
10/15/2023,2013096,82,689581,69,102493,113,100633,96,18455,100,911179,108,2148,57
