name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2023-02-24,8.3,-1.7,5.2,7.1,-4.2,3.2,-3.7,56.8,0,0,0,,0,0,58.1,14,306.5,1022.9,46.9,13.7,141.4,12.3,6,10,2023-02-24T06:37:45,2023-02-24T17:41:24,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-25,0.6,-3.9,-1.6,-1.2,-8.1,-4.5,-8.3,60,0,0,0,"rain,snow",0.6,0,35.3,12.8,146.3,1029.5,57.1,15.9,68.9,6.1,2,10,2023-02-25T06:36:16,2023-02-25T17:42:33,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-26,11.1,-0.7,3.8,11.1,-4.8,1,-2.8,63.9,0.938,100,4.17,rain,0,0,48.9,25.1,260.2,1013.5,27.5,15.9,100.5,8.7,6,10,2023-02-26T06:34:47,2023-02-26T17:43:43,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-27,6.7,1.6,3.8,6.1,-3.4,1.2,-4.6,55.5,0.811,100,12.5,"rain,snow",0,0.3,47,23.7,84.4,1013.6,36.9,15.1,166.5,14.3,7,10,2023-02-27T06:33:18,2023-02-27T17:44:52,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-28,3.3,0.3,2.1,2.8,-5.9,-1.7,1.1,93.4,1.076,100,62.5,"rain,snow",7.1,5.8,44.7,33,30.3,1008.2,83.8,13,32.9,2.7,1,10,2023-02-28T06:31:47,2023-02-28T17:46:01,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-01,6.6,2.1,4.6,5,-1.2,1.8,-0.4,70.8,0.235,100,8.33,rain,0,1.7,28,18.4,94,1019,51.3,15.4,134.3,11.7,7,10,2023-03-01T06:30:16,2023-03-01T17:47:09,0.31,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-02,11.7,4.4,7.2,11.7,0.3,5.7,2.6,75.9,0,0,0,,0,0,55.1,20,354.9,1007,60.5,10.7,80.8,7.1,5,10,2023-03-02T06:28:44,2023-03-02T17:48:17,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-03,7.5,3.3,5.1,6.8,-0.3,2.6,-2.2,60.3,1.522,100,16.67,rain,0,0,57.2,32.7,58.4,1015.4,38.8,15.9,112.6,9.7,6,10,2023-03-03T06:27:11,2023-03-03T17:49:25,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-04,8.3,4.3,6,7.2,0.4,3.4,2.9,81.2,11.493,100,41.67,rain,0,0,66.2,45.6,24.6,1002.4,99.8,14,71,6.1,4,10,2023-03-04T06:25:37,2023-03-04T17:50:33,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-05,12.1,3.8,7.4,12.1,1.1,6.2,-1.8,53.2,0,0,0,,0,0,55.4,16.5,288.6,1019.8,46.6,16,154.6,13.4,7,10,2023-03-05T06:24:03,2023-03-05T17:51:40,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
